storm_id,duration,name,damage,date,wind,pressure,lat,long,rainfall,category,year,month,elevation
AL091985,15.5,Gloria,100000000.0,1985-09-27,90.0,942.0,35.5,-75.5,9.7,1,1985,9,-0.6978960037231445
AL091985,15.5,Gloria,800000000.0,1985-09-27,85.0,961.75,40.925,-73.175,9.7,1,1985,9,-0.6626095771789551
AL092004,21.5,Ivan,20500000000.0,2004-09-16,107.0,948.0,30.3604,-87.87405000000001,17.0,2,2004,9,-2.836867332458496
AL092007,2.25,Humberto,50000000.0,2007-09-13,80.0,985.0,29.55,-94.35,14.13,1,2007,9,-4.424766540527344
AL092008,14.25,Ike,30000000000.0,2008-09-13,95.0,953.0,29.6927,-94.9182,17.6,1,2008,9,3.724327802658081
AL092011,9.0,Irene,13500000000.0,2011-08-27,75.0,951.8333333333334,34.767900000000004,-76.57986666666666,17.45,1,2011,8,-0.02916581369936466
AL131999,7.25,Irene,800000000.0,1999-10-15,70.0,987.0,25.3,-81.1,17.45,0,1999,10,0.2315502613782883
AL092012,11.75,Isaac,2800000000.0,2012-08-29,70.0,966.0,29.15,-90.1,26.71,0,2012,8,0.01548739522695541
AL092016,11.0,Hermine,550000000.0,2016-09-02,70.0,981.0,30.1,-84.1,22.36,0,2016,9,0.6274970173835754
AL102010,5.25,Hermine,240000000.0,2010-09-07,60.0,991.0,24.9,-97.2,22.36,0,2010,9,-47.0
AL092017,17.25,Harvey,125000000000.0,2017-08-26,115.0,946.1666666666666,28.166666666666664,-97.06666666666666,60.58,3,2017,8,-2.099999904632568
AL101999,2.75,Harvey,15000000.0,1999-09-21,50.0,999.0,25.9,-81.6,60.58,0,1999,9,0.0
AL092020,7.75,Isaias,5000000000.0,2020-07-30,80.0,986.0,20.9,73.4,9.15,1,2020,7,97.25231170654297
AL092021,9.25,Ida,75000000000.0,2021-09-26,130.0,929.0,21.5,82.6,18.0,4,2021,9,263.3810729980469
AL101964,9.0,Hilda,125000000.0,1964-10-04,97.0,959.0,29.657500000000002,-91.57418333333332,17.71,2,1964,10,0.4763303399085999
AL101973,5.5,Delia,18000000.0,1973-09-05,55.0,986.8888888888889,29.0368,-95.23526666666667,13.9,0,1973,9,0.1706111133098602
